subject,reading,part_of_speech,definition,explanation,JLPT
嫌い,きらい,n,"Dislike, Not fond of","嫌 い , meaning 'to dislike', is one of the very common な-Adjectives in Japanese that is used in many different expressions. All な-Adjectives behave similarly to verbs, in that their form changes depending on what comes after them. For 嫌 い , it will be followed by either な , when acting as an adjective, だ , or the more polite です , when acting as a noun. This distinction is made depending on whether it is linked to another noun, or is independent. In the example with だ , 嫌 い is expressing that the thing is 'dislikable' (assertion). However, in the example with な , 嫌 い is expressing 'being disliked' as a quality of the noun it is attached to. In the same way that 好 き can often be partnered with 大 to mean 'love', 嫌 い can often be partnered with 大 to mean 'hate'. Caution Despite ending in い, 嫌 い is one of the few words that is actually a な-Adjective , and needs to be memorized.",N5
きり,きり,,"Only, Just, Since","As an adverbial particle , きり may convey that 'upon (A)', where (A) is usually a verb, that action was the 'first and last time'. This is frequently translated as 'only', 'just', or 'since'. きり comes from the う - Verb 切 る 'to cut'. きり is often used after the plain past form of verbs, with nouns, or with counters. Let's look at verbs first. With verbs, きり is primarily used to show that (A) occurring was all that was required for (B). Usually, this results in some permanent consequence, or permanent change of opinion. In almost every situation, (A) is something that has only happened once, and きり can be interpreted as 'ever since'. When it comes to the use of きり with nouns or counters, it will express that something is happening with (A) as the limit 'nothing more, nothing less'. In other words, (A) is all that will be included in some particular situation/action. Caution きり may also be seen as っきり or キリ . There is no specific change in nuance, but っきり is the most common casual form.",N3
気味,ぎみ,,"Looking, Feeling a little, Touch of, Tending to, Slightly","Coming from the noun 気味 meaning 'sensation', ぎみ is a suffix that is used to convey weak signs of (A). ぎみ may be used with nouns, or the conjunctive form of verbs. Often, ぎみ is translated as 'looking (A)', 'a touch of (A)', 'feeling a little (A)', or 'slightly (A)'. ぎみ refers to the senses of the person who is experiencing them, and therefore may be used to refer to feelings about other people/things, or feelings about oneself. As ぎみ expresses 'weak signs of (A)', it is often used to soften a statement, so that the speaker does not appear overconfident. Caution Although it comes from 気味 , ぎみ will always be said with a ぎ, and not a き. This is a sound change used to distinguish the noun and the suffix .",N3
癖に,くせに,,"Even though, And yet, Despite","癖 is a noun that means 'habit' or 'tendency'. However, as it usually refers to a negative thing, 'vice' is another accurate translation. くせに (usually appearing without kanji) is the combination of くせ, and the case marking particle に. This structure is often used to criticize the actions of others, and is used in a similar way to 'despite', 'even though', or 'and yet' in English. As くせ is a noun, くせに may be used after the attributive form of any other word. Fun Fact 癖 is a word that has developed a 'negative' meaning over time. Originally, 癖 was used to convey a preference, or the side that someone or something tended to lean toward (due to it being favorable for some reason). When adding the case marking particle に to this, it merely expressed that (A) was the preferable state/location, so (B) not being/not acting in a way appropriate for (A) is less than desirable.",N3
くらい,くらい,prt,"About, Approximately","くらい or ぐらい (more common in spoken language) has several different uses in Japanese, but is often translated as 'about', or 'approximately'. It comes from the kanji 位 , which literally means a 'rank', or 'grade' of something. This use of くらい comes after numbers, or counter words. As can be seen in the last example, くらい may also be used after question words such as どの , when asking about the extent (grade) of something. Due to the original meaning of くらい being 'rank', or 'extent', it may not be used when referring to broad periods of time. ころ will be used in these situations. However, くらい and ころ may be used interchangeably when referring to a specific time (due to a specific time being able to be thought of as an extent). Caution Please see the ころ grammar point if you would like to compare these two structures further.",N5
くらい,くらい,,"To the extent that, So…that, About the only thing that...","Often, the noun くらい is used as an adverbial particle . This use of くらい (or ぐらい) expresses the limit of something, in a similar way to ほど. This means that it can be translated as 'about (A)', 'so (A) that (B)', or '(A) to the extent of (B)'. Let's take a look at a few examples. Despite translating in the above ways, we can see that this use of くらい is similar to the standard kanji use 位 , which literally means a 'rank', or 'grade' of something. What this means is that (A) will usually be considered to be at the 'grade' of something that was required in order to cause/allow (B).",N3
来る,くる,v-unspec,To come,"来 る is one of only two main verbs in Japanese that do not follow the standard rules of conjugation for Godan and Ichidan verbs. The other primary verb being する . 来 る means 'to come', or 'to be coming'. 来 る will always have the particle に or へ attached to the location that someone 'will come', or 'has come'. The reason that 来 る is called a か-column irregular conjugation verb in Japanese is because the る in 来 る does not conjugate, but is dropped. This leaves the く being the part that conjugates. Because of this, 来る has qualities of both る-Verbs (the る being dropped), and う-Verbs (the remaining く changing depending on the conjugation). Here are some examples of how 来 る changes. （き）た, （く）る, （こ）ない. 来 る will often be seen as 来 ている when someone has come to a place and remains there. This is due to ている meaning 'to exist in the state of an action', rather than being exactly the same as '(A)~ing' in English. Because of this, 来 ている can mean either 'to be somewhere that one has come', or 'to be coming'. Sometimes the difference between these two will not be clear unless there is further context. Caution 来 ている (for existing at a place) is only used for places that people 'temporarily' go, so will not be used when you are at your home/work.",N5
くれる,くれる,v-unspec,"To give (me), To be given","くれる is generally taught as part of a set of 3 verbs that are regularly used for giving and receiving in Japanese. These verbs are くれる , あげる , and もらう . くれる means 'to give' (to you, or someone that is part of your 'in' group). With くれる and あげる , they both function in the regular way you would expect (regarding particles). This means that が will always mark the giver (the person performing the action), and に will mark the recipient (the person that is the 'destination' of the thing that is given). This means that を will be used to mark the 'object' that is given, as is usually the case. The giver/recipient are often omitted from sentences with くれる , as one/both are usually obvious from context, or the sentence may be focussing on the object. As can be seen here, the same nuance is kept, even when things are omitted. Fun Fact What someone considers their 'in' group will be different for each person, but usually consists of members of your family, clubs that you are in, or something similar that has a 'group' atmosphere (that you are a part of). The giver will always be someone that is more distant than the people that are in the 'group'. Caution When we want to say that we (or someone else) gave something to someone that is not in our 'in' group, we will need to use あげる instead.",N5
くらいなら,ぐらいなら,,"Would rather...than, Rather than, Better off","くらいなら will often be translated as 'would rather (B) than (A)', or 'better off (B) than (A)'. It is a grammar pattern that combines the adverbial particle usages of くらい 'about' and なら 'if' to imply that 'if it gets to the extent of (A), then (B)', where (B) will be something that is preferable. くらいなら will be used directly following verbs in their dictionary forms . As this structure emphasizes (A) as being something that is undesirable, (B) will often contain statements that offer a solution, suggestion, or opinion, such as ほうがいい 'would be better to', ほうがましだ 'would be less bad', なさい 'do!'. Caution Although くらいなら will always follow a verb in dictionary form , the second half of the sentence may imply that (A) has actually already happened, and the speaker is wishing that it hadn't. In these cases, くらいなら almost always translates to 'if I had known that (A), then I would have (B)'.",N1
包みで,ぐるみで,,"Whole, -wide, Across the, Entire, All of, With … altogether","When following nouns, the suffix ぐるみ 'including (A)', 'all over (A)', or '(A) wide' is used to express that something encompasses absolutely all of (A). ぐるみ stem from the う-Verb 包 む, meaning 'to wrap', or 'to encompass'. In many cases, the case marking particle で will follow ぐるみ to mark 'with', but の may also be seen when preceding a second noun. ぐるみ is most frequently seen following words that specify a whole 'group' or 'span' to which the topic of the sentence is only one part of. This could be one member of a family, one home within a neighborhood, one student within a school, or any other number of things that share a clearly identifiable link. Despite this, the primary nuance will always be that the group itself shares a common trait, rather than focusing on any individual part.",N1
結構,けっこう,adv,"Quite, A lot, Fairly, Rather","結構 is a な-Adjective that is actually used more frequently as a sentence altering adverb, than it is as a な-Adjective . What this means is that it is regularly used before an entire phrase (without な or だ ), and it will modify the entire sentence. The most common meaning that 結構 has is 'quite' (a bit/a lot). Fun Fact 結構 is used very similarly in Japanese to 'no thank you', or 'I'm fine thanks' in English. For example, if someone asks you if you want to try a sample in a shop, most people would just say 結構 です .",N5
けど,けど・だけど,prt,"But, However","けど is one of the common conjunction particles in Japanese. These are particles that function by connecting the (A) and (B) parts of a sentence. けど works very similarly to が , in that it highlights 'while thinking about (A), (B)'. This means that けど will often come across as 'but' in English. As can be seen from these examples, just like many other grammatical constructions, だ will be required when using けど after a な-Adjective , or a noun. けど is just a modern (casual) version of けれども . Please see below for a list of the most casual, to the most formal variations. Casual - けど - けども - けれど - けれども - が - Formal. Caution The phrase after けど will often be omitted if it is obvious, or the speaker does not want to say it.",N5
けれども,けれども,prt,"But, Although","けれども is the more formal (full version) of the conjunction particle けど . Like けど , it usually carries the meaning of 'but', but because of its formality, sounds a bit more like 'although', or 'provided that'. It simply highlights that 'while thinking about (A), (B)'. Meaning that the (B) phrase is important, or needs to be considered. As can be seen from these examples, だ will be required when using this conjunction after a な-Adjective , or a noun. As a reminder, please see below for a list of the most casual form of 'but', to the most formal. Casual - けど - けども - けれど - けれども - が - Formal. Fun Fact Originally, けれども was thought to be a more feminine version of が . However, the modern けど is so common that it has lost all of the feminine nuance that came from けれども . Caution As with けど (and other forms of 'but' in Japanese), the phrase after けれども will often be omitted if it is obvious, or the speaker does not want to say it.",N5
気,げ,,"Seemingly, Giving appearance of, [Expresses emotions or feelings]","げ , sometimes seen in the kanji form 気 is a suffix in Japanese that expresses that something is 'giving off the feeling of (A)', or 'seems like (A)'. げ is frequently used in relation to emotions, feelings, and things that the speaker generally can't be 100% sure of due to them not being directly visible. げ is primarily seen used after the stem form of い-Adjectives, but may also appear following the stem forms of nouns of な-Adjectives. In all of these cases, the addition of げ creates a new な-Adjective meaning '(A) seeming'. Due to this, げ may then be followed by either な or に, depending on whether it is altering a verb or a noun later in the sentence. げ is more subjective (based on the speaker's opinion) than そう, and is considered to be very low confidence. This may be considered a byproduct of the original 気 , meaning of 'attention', referring to the way that the speaker 'senses (A)', regardless of what is actually true for (A) on the inside.",N2
ここ,ここ,n,"Here, This place","ここ is one of the forms of the これ family of words used to identify things close to the speaker. In this case it demonstrates a place. In the same way that これ represents 'this', ここ represents 'this place', or simply 'here'. Fun Fact The full family of words used for identification/demonstration in Japanese are referred to as こそあど 言葉 (KO, SO, A, DO words). These include all of the different forms of これ , それ , あれ , and どれ . Caution ここ should not be confused with こっち, a similar word which is also sometimes translated as 'here'. こっち focuses more on the direction that one is/is going, while ここ focuses purely on 'this (stationary) place'.",N5
こそすれ〜ない,こそすれ〜ない,,"And certainly not, But certainly not, But, Although, Even though","Occasionally in Japanese, the adverbial particle こそ will be seen followed by the realis form (sometimes referred to as the perfective form) of verbs. This is a classical verb form that does not have a modern counterpart. However, the hypothetical form has largely replaced the realis form in the manner in conjugates. The verbs that will be seen altered this way are する ‘to do’, なる ‘to become’, and ある ‘to be’. They will respectively become こそすれ , こそなれ, and こそあれ , and are used specifically for emphasis. Common translations include ‘certainly not (B), but (A)’, or ‘even though (B), actually (A)’. The (B) phrase in this grammar point will include a negative statement, and is usually something that the speaker is responding to or correcting about what another person mistakenly thought. こそすれ may attach to either the noun part of する-Verbs, or the conjunctive form of standard verbs. なれ and あれ will be used based on the standard rules of what type of word なる would usually appear with (a noun or adjective), and what type of word ある would usually appear with (a noun). Caution There are cases where the base verb will have been entered in some way, like by having the causative or the passive auxiliary verbs attached to them before the new base will be altered with こそする. So you will need to work out what verb stem is actually being used in any given sentence.",N1
こそ,こそ,,"For sure, For certain, Even more so, Underlined or bolded text","こそ is an adverbial particle in Japanese that primarily replaces either を or が. Its main role is to highlight the preceding noun (or noun phrase) as being the the most important piece of information in relation to the rest of the sentence. In English, this is an effect that is primarily achieved through things like bold text, underlining, or emphasizing a particular word in speech. If we were to make a direct comparison to an English statement, then things like 'precisely because it's (A)', or 'rather it is due to (A)', are quite similar to こそ 's function. こそ can be used directly after any noun that would usually take the を , or が particles, so long as that particular piece of information needs to be emphasized. Caution The reason that こそ is able to replace が, but not は, is due to the fact that が primarily highlights specific pieces of information, while は nominates general topics. This means that they have completely opposite functions. To make things easier, the three particles can be thought of in the following way: は- Weakly highlights specific information. が- Strongly highlights specific information. こそ - Very strongly highlights specific information. Fun Fact こそ is often used after names or pronouns, as a way to reply to thanks/apologies. In these situations, it expresses that the speaker feels equally (or more) obliged to say what was just said to them by someone else.",N3
事から,ことから,,From the fact that,"In order to come to a logical conclusion about something in Japanese, sometimes strong expressions like ことから will be used. This is a combination of the noun こと, and the case marking particle から. ことから literally means 'from that which is (A), (B)', but is generally simply translated as 'from the fact that (A), (B)'. ことから may be connected to the end of any phrase, so long as the word before it is in its attributive form . Caution There is a difference between ことから 'from the fact that' and ことだから 'because'. In ことだから , から is a conjunction particle that links the (A) and (B) parts of a sentence. However, in ことから , から is a case marking particle , meaning that it is highlighting the subject.",N3
事か…,ことか,,"How…, What..., God knows...","ことか is a combination of こと 'thing', and the case marking particle か, used to present a question. In sentences with ことか , words that highlight some particular number or extent are often used, before ことか comes at the end of the statement, expressing that 'extent' as being particularly unusual, or even unbelievable (thanks to the addition of か). This is often translated simply as 'how (A)', 'what (A)', or even 'god knows (A)'. Let's look at a few examples. Literally, ことか can be translated as 'to what particular (A) is (B)!?', as the enquiry is often not directed at anyone specifically, but instead presents itself as a question simply to emphasize its magnitude. Caution In modern Japanese, this expression is used primarily in written language, and has a tendency to sound either poetic, or dramatic. Because of this, it may sound unnatural in daily speech, unless the speaker is purposely being dramatic.",N3
事がある,ことがある,,"Something is possible, Sometimes, Occasionally, There are times when","ことがある is an expression in Japanese that combines the noun こと with the case marking particle が, and the う - Verb, ある. It is often translated as 'to be possible', 'to occasionally occur', or 'to sometimes occur'. However, the more literal translation of ことがある is '(A) is a thing that exists'. ことがある may be paired with the attributive form of any other word. Occasionally, が may be replaced by も. In these situations, it implies that '(A) is also a thing that exists'. Basically this just highlights that (A) is something that needs to be considered (among other things). Caution ことがある differs from たことがある (a phrase commonly paired with the past form of verbs). たことがある highlights a single event in which the (A) verb was completed. However, when the verb is not in past form, it simply implies that there are 'times' when the verb happens, as opposed to a single/specific time.",N3
ことが出来る,ことができる,,"Can, Be able to","Like ことがある , ことができる is an expression that nominalizes what comes before it (turns it into a noun-phrase), and then highlights something about that (A) phrase. In the case of ことができる , the thing being highlighted about (A) is that it is 'possible'. This translates as 'can do (A)', or 'to be able to do (A)'. However, こと is only required when the (A) phrase needs nominalization (is not a noun to begin with). Due to this, ができる may be used by itself when following a noun, without changing the meaning. Fun Fact のが (or のは ) is also frequently used for nominalization, but this is rarely the case when a verb follows it. Some other expressions where のが may not be swapped for こと are as follows: ことがある - For (A) to exist. ことにする - To make something (A). ことになる - For (A) to come to be.",N4
事だから,ことだから,,It is exactly because,"ことだから is a set expression used for indicating that the speaker is fairly certain about (B), based specifically on their experience with (A). This is often translated as 'it is exactly because (A) that (B)', or 'precisely because it is (A), (B)'. ことだから is a combination of the noun こと 'thing', だ, and から. The literal meaning can be interpreted as 'from that it's (A), also (B)'. This just implies that due to (A) being a predetermined fact, (B) too can be assumed to be true. When making assumptions, ことだから will often be seen following verbs in their dictionary forms, or nouns followed by の. Alternatively, ことだから may appear following verbs in any of their standard forms when the situation of (A) is considered as a good opportunity to also do (B), according to the speaker. Lastly, ことだから may simply imply (strongly) that (A) is the reason for (B). In these cases, either verbs in their standard forms or nouns followed by の may precede ことだから . Despite having these three slightly different nuances, the speaker's intended meaning will usually be clear in the (B) part of the sentence. Due to this, ことだから may always be thought to simply mean that 'by the logic of (A), definitely (B)'.",N2
ことだし(),ことだし,,"(And) so, Because, Since","ことだし is a combination of the noun こと 'thing', the auxiliary verb だ, and the conjunction particle し, used for listing reasons. The whole structure itself often translates simply as 'because (A)', or 'since (A)', but places extra emphasis on there being other reasons besides what the speaker has specified. This structure may appear after any word in its attributive form , or after a noun that has been followed with の. Just like with its standard use in creating lists, し is being used in this grammar point to show that (A) is not exclusive. The way this comes across is that 'while there are other reasons, (A) is good enough to (B)'. (B) is usually some suggestion, invitation, or expression of determination.",N1
事だ,ことだ,,"Should, Ought","As a sentence ending particle , こと has two primary functions. These are as follows: 願望 や 軽 い 命令 を 表 す - Highlighting a desire or weak command. 感嘆 や 疑問 を 表 す - Highlighting astonishment or doubt. We will focus on the first meaning in this grammar point, as the 'astonishment' nuance is not as commonly used in modern Japanese, and is primarily used only by women. At the end of a sentence, こと will be paired with the dictionary (or ない) form of a verb, to highlight a particular action that either should, or should not occur. It is usually grouped with the auxiliary verb だ , although this is not always the case. This construction is most often translated as 'should/should not (A)', or 'ought to/not (A)'. Caution This use of こと implies a certain level of 'authority', and is therefore regularly used in relation to set rules and expectations (can very frequently be seen on signs in shops/parks, etc). Due to this, it should not be used when giving 'general' advice, especially to people of higher status.",N3
こととて,こととて,,"Due to, Since, On account of, Because","こととて is a combination of the noun こと 'thing', and the binding (adverbial) particle とて, which is used for presenting reasons. It will be translated as 'due to (A)', or 'because of (A)'. This is a fairly old-fashioned expression, and will almost exclusively be used in writing in modern Japanese. To use こととて , attach it to the end of a verb, or a noun followed by the case-marking particle の. こととて will primarily be used when asking for forgiveness for something. Due to this, when appearing after verbs, the verb will usually be in past tense, or have been negated with either ない or ぬ. This highlights something that was done and shouldn't have been, or wasn't done and should have been. In many cases, (A) will be something for which the negative result of (B) is obvious, or to be expected. Fun Fact とて is thought to either be a combination of the case-marking particle と and the conjunction particle て, or the conjunctive form of the classical auxiliary verb たり, と, and the conjunction particle て. As the origin is unclear, it will be best to think of it as its own structure, that carries its own original meaning.",N1
事無く,ことなく,,Without ~ing,"Like ないで 'without', ことなく is an expression used in Japanese following verbs that expresses (B) being done 'without (A)'. However; ことなく is used in more formal situations, and when there is some contrast between (A) and (B). This may appear in one of two ways, which we will discuss in a moment. ことなく is a mix of こと, and なく, the adverbial form of ない. It will follow the dictionary form of verbs. The first contrastive use of ことなく illustrates that (A) is something negative, to which (B) should be done as a preventative measure, or was able to be done while avoiding (A). The second use of ことなく highlights when (A) is something that was or would be wished for, but unfortunately (B) happened without it being realized. In this way, (A) is frequently some kind of unmet desire.",N2
事なの(),ことなの,,"(A) is (Description of A), (A) means that (Description of A)","When the noun こと (or 事 in its kanji form) is combined with なの, it conveys an explanatory meaning that is similar to what can be seen in the んです・のです grammar pattern. As with んです , ことなの transforms 'it is (A)', into 'it is that it is (A)', simply emphasizing the point. ことなの may be seen in several different forms, and is quite often used in conjunction with というのは . In these types of sentences, というのは will present the topic, before ことなの will be used to show the conclusion that the speaker has drawn about that topic. This expression may be used with any word in its attributive form , nouns followed by の, or な-Adjectives followed by な. という may also be used directly before ことなの . However, this is not always the case, and is even more unlikely when it was already utilized in the first half of the sentence. Caution As というのは is quite long, it will often be shortened to って or とは in casual speech. Caution ことなの is also frequently used when asking questions. This is usually when the speaker has drawn a conclusion about something that has been said, and wants to confirm their understanding. なのか is very frequently heard/seen in drama, novels, manga, and similar types of media, but may be considered rude in daily speech.",N3
事にする,ことにする,,"To decide on, Have decided to","In a similar way to how にする means to 'decide on' something, ことにする means to decide on a situation, or course of action. This grammar point is a combination of 事 'thing' in its role as a nominalizer (a word that creates a noun-phrase), and にする 'to make it (A)'. Literally this grammar structure can be translated as 'to do (A)', or 'to make it (A)'. ことにする may be used with verb-phrases that are either in the affirmative, or negative (using ない) forms. As こと itself is a noun , the verb (or auxiliary verb) that comes before it will need to be in its attributive form . にする is a strong expression, which tends to make the speaker sound like they are fairly resolute in their decision. Caution The する in にする itself may also be seen using ない, to mean that someone has decided 'against' doing something. Due to this, careful attention will need to be paid to the overall structure of the sentence.",N3
事になっている,ことになっている,,"To be expected to, To be scheduled to","ことになっている is an alternation of ことになる , a grammar point showing that something has been decided by someone other than the speaker. It is a combination of the nominalizing use of こと (for creating noun-phrases), and the ている-form of the う-Verb なる 'to become'. The primary difference between ことになる and ことになっている is that the latter focuses more on that something is 'expected to (A)', or 'scheduled to (A)'. In other words, it is 'becoming that (A)', but has not actually happened yet. This structure is often used after either the る or ない versions of verbs, in order to highlight the action which either is not not 'expected', or 'scheduled' to occur. Let's take a look at the 'scheduled to' meaning first. When indicating that something is 'expected to (A)', this is an example of ている's use for expressing habitual or ongoing actions/states that reoccur under some specific set conditions.",N2
事になる,ことになる,,"It will end up being, It is the result of, It has been decided that","ことになる is an expression that combines the nominalizing use of こと (creating a noun-phrase), with the case marking particle に , and the う - Verb なる 'to become'. This expression can be translated as 'to become (A)', but has the nuance that someone/thing caused (A) to become that way. Due to this, it may also be translated as 'it has been decided that (A)', or 'it will end up being (A)'. ことになる is primarily used with verbs and い-Adjectives in their attributive form . It may also be used with な-Adjectives followed by な. The 'it has been decided that (A)' meaning only applies to verbs, as only verbs will be enacted by someone/thing. Fun Fact This structure is a good example of why なる is often viewed as the intransitive form of する . する conveys that someone is performing an action (transitive), while なる implies that something is the result of an action (intransitive). This is why the (A)  phrase in ことになる is usually determined to have been decided/performed by someone else, while still focusing on exactly 'what' (A) became.",N3
事にはならない,ことにはならない,,Just because… doesn't mean…,"ことにはならない is an expression which is often seen at the end of sentences when the speaker wants to emphasize that something said earlier is not necessarily the case. Often, structures like ても 'even if' or からといって 'just because' will appear in the first half of the sentence, before ことにはならない will simply highlight that 'it will not be that (B)'. As a grouping, the whole expression is often interpreted as 'just because (A), it doesn't mean that (B)'. ことにはならない is a construction of こと, に, は, and the negated form of the う-Verb なる 'to become'. In this way, the literal meaning is that 'just because of (A), (B) is not something that will come about'. Although not required, the (B) expression may be emphasized even further by the inclusion of という before ことにはならない .",N2
ことに,ことに,,"Extremely, Especially, To my ...","When 事 'thing' is combined with the case-marking particle に following a statement, it highlights that something is of a 'great extent'. Common translations include 'particularly', 'especially', or 'to my (A)'. This grammar pattern almost always describes some kind of feeling or emotion. ことに is regularly seen after verbs, い or な-Adjectives . In most situations, '(A) ことに (B)' can be translated quite literally as 'to a particularly (A) extent, (B)'. Fun Fact A very common expression 幸 いなことに uses this particular grammar structure as a set phrase, and is often translated simply as 'fortunately', or 'luckily'. Fun Fact ことに may sometimes be seen before descriptions rather than following them. In these cases, it comes from the kanji 殊 , and is being used adverbially in the same was as 特 に to mean 'particularly' or 'especially'.",N3
事はない,ことはない,,"There is no need to, Never happens","ことはない is an expression that has two primary purposes in Japanese. To convey that there is 'no need for (A)', or that '(A) never happens'. In these cases, (A) is a verb that will appear directly before こと. ことはない is often used to reassure someone that something will not come to pass. In this expression, the adverbial particle は is working to present (A) as the extent (a regular role of adverbial particles), while the 形容詞 ない negates that extent. This negation is up to interpretation, with the literal meaning simply being 'There is no (A)'. Caution This structure is very different to たことがない, which presents a single instance of something not having happened. As opposed to the case marking particle が, は presents the verb/verb-phrase as a topic itself in non-past form, highlighting its non-existence. Due to this, ことはない can imply that (A) is unthinkable, or even impossible.",N3
ことは〜が,ことは〜が,,"It is true...but, although, but","ことは～が is a set expression which indicates that 'while something is (A), also (B)'. In English, this is usually interpreted as '(A) is true, but (B), or 'although (A), (B)'. When this grammar structure is used, the same word will be repeated before both ことは and が (or けど). Due to this, the literal translation is similar to 'that which is (A) is (A), but (B)'. This simply emphasizes that the speaker recognizes (A) as being true, but would like to express information that is contrary to that. ことは～が can appear with any type of word, but だ will need to be used following nouns before が, while な, である, だった or ではない tends to follow な-Adjectives. In most cases, ことは～が expresses that the base fact of (A) is true, but the speaker has some sort of opinion or impression that is in opposition to that fact.",N2
こと,こと,,Converting a verb into a noun,"In a very similar way to のは , こと is used in Japanese for nominalization (creating a noun-like phrase). However, unlike のは , which is a combination of two particles, こと is a noun . To use こと , just add it to the end of a verb in its dictionary form. こと (or 事 in its kanji form) is a noun that is often translated as 'thing', and in this way, literally means 'the thing that is (A)' when used for nominalization. As we can see from these examples, ない can also be used between the verb and こと , to form a 'not' statement. There are other auxiliary verbs that may be used with こと in this way, but ない is the most common. Although this lesson discusses こと pairing with the dictionary form of verbs, it can actually pair with any standard verb form. Standard form just means anything that does not finish with the polite ます. Fun Fact Unlike もの (another noun used to describe 'things'), こと is a noun that is frequently used to describe things that are 'intrinsic'. This basically means things that are describable, but not necessarily always observable (feelings, conditions, events, etc.). Caution When a sentence (usually short) finishes with こと , it quite often has the nuance of being a rule, or command. This こと is not actually a noun, but a sentence ending particle . こと as a particle will almost never be written in the kanji form. However, it does originate from the same word.",N4
この,この,adj-na,This,"この is classified as a ' pre-noun adjectival ' in Japanese. These are a special type of word that do not conjugate. This means that they will always appear in the same form. この comes from the same family of words as これ and ここ , and is used to identify a 'thing' that is near the speaker. As the name ' pre-noun adjectival ' suggests, these words will always appear before a noun, and describe that noun in some way.",N5
これ,これ,n,This,"これ is often thought to be equal to 'this' in English, which is basically correct. これ will always be used to highlight something that is close to the speaker either emotionally, or physically. Despite being translated as a ' pronoun ' in English, it might be easier to think of これ as a substitute noun (the literal meaning in Japanese), as this is always its function. これ substitutes for something that has its own name, but is not required in the context of the sentence, or is simply unknown by the speaker.",N5
御座います,ございます,,"To be, To exist (Polite)","ございます is a combination of the (special-class) verb, ござる ( 御座 る in its kanji form), and the auxiliary verb ます. It is considered polite speech , and is directly equivalent to ある (or いる ). ござる itself is almost never used in daily conversation in modern Japanese, due to the preference of the polite form, ございます . However, ござる is regularly used in dramas, manga, and other forms of media (especially historical dramas). Fun Fact 御座 る literally means 'to be', and it does not matter whether the object that is being described is animate (would usually use いる), or inanimate (would usually use ある). However, いらっしゃる 'to be' is preferred when referring to other people, as honorific language is more respectful than polite speech . Due to this, ございます will often be used in reference to people, in place of であります (the polite form of である ). Notice that で is used in these examples. でございます itself is considered its own grammatical structure, that we will examine in a separate grammar point.",N4
毎に,ごとに,,"Each, Every","ごとに is a combination of the noun ごと , and the particle に . Together, they are used adverbially to express that something happens 'every (A)', or 'at intervals of (A)'. ごとに may be used after any verb (usually in non-past form), or noun. Although ごとに may be used after verbs, the most common use is with nouns, or phrases that finish with nouns. Caution ごと is the 訓読 み (Japanese reading) of the kanji 毎 , which means 'every'. This fact will be important when trying to remember the difference between ごとに and おきに , a similar grammar point which can also mean 'every', but focuses more on 'interval' or 'gap' of a specific time or distance. Due to おきに focusing on the space between 'each (A)', there are sentences where おきに and ごとに will have different meanings. Here, we can see that ごとに will mean 'every week', while おきに will mean 'every second week', due to there being a 'one week interval' when おきに is used. To make things easier, these two expressions can be remembered in the following way. (A) ごとに = During every (A), (B). (A) おきに = After every space of (A), (B). Fun Fact Many native speakers make mistakes with the difference between おきに and ごとに , so there are quite a large number of people (especially in the younger generation) that will consider them completely interchangeable.",N4
頃,ごろ,,"Around, About","ころ , or ごろ (the colloquial pronunciation) is a word which carries the meaning of 'around', or 'about'. It is utilized in a similar way to くらい , but has a few differences. When ごろ is used, it will need to be attached to the end of a noun, or a noun followed by の . The main difference between ころ and くらい is that ころ can be (and often is) used to express a broad point in time, while くらい is limited to expressing timeframes that are more specific. Conversely, ころ will not be used when expressing approximate distances/lengths. The primary reason for this is that ころ expresses a span of something, while くらい expresses an extent. In this way, ころ could also be translated as 'within the span of (A)', while くらい is closer to 'at the point of (A)'. As an easier way to think about it, if we have a one meter ruler, ころ could express anywhere between 1 to 100 centimeters (the span), but くらい can only express somewhere between 90 and 100 centimeters (the extent). Just like with English, if the 'time' expressed is very specific, then either くらい or ころ could be used naturally. This is due to the 'span', and the 'extent' already being something that is a 'precise point' in these cases. Caution The kanji form of 頃 is also very common, so it is worth learning as soon as possible, to save any confusion while reading.",N4
さえ～ば,さえ〜ば,,"If only…then, As long as..., Provided..., Only thing ... needs for ... is ...","As a set expression, さえ～ば is a combination of the adverbial particle さえ , and the conjunction particle ば . It is used to highlight assumption , and presents (A) as a extreme limitation that is required to achieve (B), hypothetically. This structure may be translated as 'if only (A), then (B)', 'the only thing needed for (A) is (B)', or 'as long as (A), (B)'. さえ may be grouped with any word, but will require the conjunctive form , or て form before it when grouped with verbs. It also regularly appears after other particles, forming a dual-particle meaning. This use of さえ is an example of limit , with (A) being a hypothetical limit presented by the ば particle. It is also possible to see さえ with other hypothetical indicators (such as たら ), but is quite rare in modern Japanese, as さえ～ば is considered a set pattern. This limitation is also sometimes referred to as a 'stipulation', or 'condition' .",N3
